keywords,sentence,article_no,source,title or content
现代投资,截至5月4日收盘，板块内109家上市公司当红，共有30家公司股价动态市盈率PE(TTM)低于20倍，其中，赣粤高速(5.23 -1.32%，买入)、山东高速(6.10 -3.48%，买入)低于10倍，现代投资(8.89 -1.66%，买入)、中原高速(4.79 -1.24%，买入)、建发股份(11.70 +0.34%，买入)、飞马国际(17.66 -1.89%，买入)、中远海能(6.49 -2.5,7,媒体新闻,c,1
现代投资,统计结果显示，截至5月4日收盘，板块内109家上市公司当红，共有30家公司股价动态市盈率PE(TTM)低于20倍，其中，赣粤高速、山东高速低于10倍，现代投资、中原高速、建发股份、飞马国际、中远海能等公司估值低于12倍,8,媒体新闻,c,1
现代投资,Wind资讯统计结果显示，截至5月4日收盘，板块内109家上市公司当红，共有30家公司股价动态市盈率PE(TTM)低于20倍，其中，赣粤高速、山东高速低于10倍，现代投资、中原高速、建发股份、飞马国际、中远海能等公司估值低于12倍,9,媒体新闻,c,1
现代投资,"ad0f0bb1597720-1"" >　　5只增持股持股比例超5%<IMAGE SRC=""http://e.thsi.cn/img/43675f3fd8e6098f-1"" >　　国家队增持重仓股方面，现代投资（000900）、中信证券（600030）、中天科技（600522）、安徽合力（600761）、登海种业（002041）等个股最新持股占总股本比例超过5%",10,媒体新闻,c,1
现代投资,国家队增持重仓股方面，现代投资(行情000900，买入)、中信证券(行情600030，买入)、中天科技(行情600522，买入)、安徽合力(行情600761，买入)、登海种业(行情002041，买入)等个股最新持股占总股本比例超过5%,11,媒体新闻,c,1
现代投资,"持股比例超5%<IMAGE SRC=""http://n.sinaimg.cn/client/crawl/20170504/4yS2-fyeyqek8170157.jpg"" >　　国家队增持重仓股方面，现代投资、中信证券、中天科技、安徽合力、登海种业等个股最新持股占总股本比例超过5%",12,媒体新闻,c,1
现代投资,金融理论家先后推出了有效市场理论、现代投资组合理论、投资增长理论等试图解析市场规律的体系，但这些理论真正被华尔街接受还要等到计算机模型被广泛采用之后，特别是费希尔·布莱克、迈伦·斯科尔斯和罗伯特·莫顿1973年推出了期权定价模型,15,媒体新闻,c,0
现代投资,短线战法是现代投资（000900）重要的投资手段之一，得到华尔街各同行的的普遍认同，短线可以规避掉套牢的风险，严格止盈交易计划，计划你的交易 交易你的计划,16,媒体新闻,c,0
现代投资,e融协议视频面签功能，用线上视频面签取代线下签署，在保障用户资金安全的同时，极大提高了签署效率，提升了用户体验;推出“财富规划”功能，根据用户的风险评级和投资金额，再结合用户期望的预期年化收益率，运用现代投资组合理论模型算法，为用户提供智能优化的资产配比建议;还通过搭建“投资圈”、“公益圈”等特色圈子，为高净值用户提供投资研讨、参与慈善事业等更多有品质的生活服务,17,媒体新闻,c,0
现代投资,　　现代投资两任高管被查  湖南交通腐败窝案仍在发酵　　原创2017-08-02鲁伟财经杂志 财经杂志　　作为湖南交通运输系统内唯一上市公司，现代投资副总经理与前任董事长先后被查，或涉长沙现代凯莱大酒店项目,18,微信,c,1
现代投资,　　《财经》记者 鲁伟/文  李恩树/编辑　　8月1日，现代投资股份有限公司（下称现代投资，000900.SZ）在投资者互动平台确认，公司副总经理张宁正在接受相关部门调查,18,微信,c,1
现代投资,稍早之前的7月5日，现代投资前董事长宋伟杰涉嫌严重违纪被查,18,微信,c,1
现代投资,　　现代投资主营高速公路的养护维修和收费经营业务，是湖南交通运输系统内唯一上市公司,18,微信,c,1
现代投资,长沙现代凯莱大酒店是由现代投资打造的五星级酒店，主体分为现代凯莱大酒店、101公馆、写字楼和凯莱商务酒店，该项目总投资7亿元，建设周期长达十年，迟至2014年才竣工,18,微信,c,1
现代投资,”　　1966年出生的宋伟杰，湖南桃源县人，曾任湖南省统计局农调队干部、省政府办公厅干部，2001年10月至2017年2月在现代投资任职，后调任湖南水运集团任职董事长,18,微信,c,1
现代投资,宋伟杰任职现代投资之前，是湖南一位时任副省长的秘书,18,微信,c,1
现代投资,受此影响，宋伟杰在担任现代投资董事长期间，屡次陷入被查传闻,18,微信,c,1
现代投资,现代投资前任总经理与董事会秘书还曾因子公司的一笔对外投资而被“协助调查”,18,微信,c,1
现代投资, 　　《财经》记者通过公开信息发现，现代投资自1999年在深交所挂牌交易以来，在资本市场屡有违规之举，包括信息披露质量不合规、数十亿资金被大股东下属公司占用、子公司违规对外投资等,18,微信,c,1
现代投资,现代投资答复称：“谢谢您的建议,18,微信,c,1
现代投资,”　　8月1日，现代投资有关人士对《财经》记者表示，目前公司经营一切正常，对于宋伟杰的落马“无法回复”，而张宁的“调查情况还不清楚”,18,微信,c,1
现代投资,现代投资两任高管被查  湖南交通腐败窝案仍在发酵,18,微信,t,1
现代投资,　　选股逻辑：　　现代投资股份有限公司是湖南省交通系统唯一一家上市公司，主营业务为高等级公路的养护维修和收费经营，公司经营的京珠高速湖南段是沿线各省市通往粤港澳的重要通道,19,微信,c,1
现代投资,　　操作历程：　　现代投资在7月6日~14日这段时间，连续在20天线附近获得支撑，同时14日量能萎缩到“地量”的水平，有变盘的信号，于是尾盘提示客户6.02的价格建仓买入,19,微信,c,1
现代投资,　　17日，大盘出现大幅下挫，现代投资未能幸免，出现较大幅度的下杀,19,微信,c,1
现代投资,"但是考虑到现代投资是""深证100""指数样本股，是深圳市场上少有业绩优良的标的，同时在5.81这个重要点位能获得支撑",19,微信,c,1
现代投资,　　19日，现代投资收出阳线，出现“晨星”看涨K线形态，24日出现放量的长上影，提示客户6.4清仓离场，共计获利7.8%,19,微信,c,1
现代投资,"sRKOBGQZov8ypZsBBDvLMex1iaYSYMNajOTGwqYTQ0u50znQibH4egiaaxyFN3TmShw1XZuictP0MjWyg/640.png?"" >　　兰德学堂：现代投资（000900）压力与支撑的相互转变",19,微信,c,1
现代投资,兰德学堂：现代投资（000900）压力与支撑的相互转变,19,微信,t,1
现代投资,"　　赣能股份(000899)现代投资（000900）航天科技（000901）新洋丰(000902)云内动力(000903)　　<IMAGE SRC=""http://mmbiz.qpic.cn/mmbiz_jpg/WgnMy2NG",20,微信,c,1
现代投资, 　　现代投资（000900）  短期趋势：强势上涨过程中，可逢低买进，暂不考虑做空,20,微信,c,1
现代投资,赣能股份(000899)现代投资（000900）航天科技（000901）新洋丰(000902)云内动力(000903),20,微信,t,1
